ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
002250.SZ,122,7,20251029,20251031,11.854,20251120,13.124,14,3300,True,3939.45,10.06,MA10追踪出场
300244.SZ,85,6,20251114,20251118,16.814,20251121,15.605,3,2300,False,-2814.8,-7.27,硬止损-9%
688506.SH,111,6,20251117,20251124,385.74,20251208,358.021,10,100,False,-2807.73,-7.27,硬止损-9%
601688.SH,112,6,20251205,20251208,22.705,20260115,23.313,26,1700,False,993.9,2.57,横盘26天出场
000680.SZ,105,6,20251224,20251226,11.553,20260202,11.697,24,3400,False,448.13,1.14,横盘24天出场
688222.SH,104,6,20251230,20260105,26.192,20260119,32.734,10,1500,True,8587.62,21.84,MA10追踪出场
605555.SH,100,6,20251230,20260105,18.938,20260126,18.912,15,2100,False,-93.69,-0.24,横盘15天出场
002552.SZ,96,6,20251230,20260107,17.495,20260130,19.212,17,2200,True,4264.62,11.07,MA10追踪出场
300443.SZ,101,6,20260105,20260106,29.759,20260127,30.16,15,1300,False,481.0,1.24,横盘15天出场
002039.SZ,113,7,20260106,20260112,18.146,20260227,18.004,28,2200,False,-352.67,-0.88,横盘28天出场
600737.SH,115,6,20260106,20260109,17.274,20260130,17.705,15,2300,False,948.37,2.38,横盘15天出场
603271.SH,91,6,20260106,20260107,42.154,20260130,43.722,17,900,True,2604.36,6.86,MA10追踪出场
002533.SZ,109,6,20260107,20260108,13.026,20260129,13.343,15,3000,False,911.75,2.33,横盘15天出场
000338.SZ,117,7,20260108,20260109,18.377,20260202,22.525,16,2100,True,7526.3,19.48,MA10追踪出场
002484.SZ,107,6,20260109,20260112,31.874,20260114,29.583,2,1200,False,-2784.03,-7.27,硬止损-9%
000061.SZ,111,7,20260112,20260114,9.96,20260127,9.244,9,4000,False,-2899.84,-7.27,硬止损-9%
002445.SZ,108,6,20260113,20260114,2.735,20260204,2.744,15,14600,False,91.91,0.23,横盘15天出场
300360.SZ,117,6,20260114,20260116,18.226,20260130,16.917,10,2100,False,-2786.0,-7.27,硬止损-9%
300443.SZ,109,6,20260114,20260121,30.862,20260129,28.644,6,1200,False,-2695.63,-7.27,硬止损-9%
000786.SZ,107,7,20260116,20260120,26.874,20260213,26.996,18,1400,False,133.37,0.35,横盘18天出场
605555.SH,97,6,20260116,20260120,19.068,20260202,17.698,9,2000,False,-2775.86,-7.27,硬止损-9%
002612.SZ,97,6,20260119,20260121,20.922,20260127,19.418,4,1900,False,-2893.43,-7.27,硬止损-9%
002170.SZ,82,6,20260119,20260120,13.006,20260210,12.934,15,3000,False,-254.44,-0.65,横盘15天出场
600186.SH,98,6,20260120,20260123,6.363,20260129,5.905,4,6200,False,-2871.4,-7.27,硬止损-9%
600871.SH,88,6,20260120,20260122,2.605,20260205,2.874,10,15300,True,4966.73,12.45,MA10追踪出场
600666.SH,104,6,20260121,20260123,3.838,20260130,3.562,5,10400,False,-2905.1,-7.27,硬止损-9%
600757.SH,96,6,20260127,20260129,9.198,20260227,9.152,15,4300,False,-240.16,-0.61,横盘15天出场
688708.SH,117,7,20260227,20260302,65.06,20260304,60.385,2,600,False,-2841.35,-7.27,硬止损-9%
002170.SZ,105,7,20260415,20260416,13.898,20260417,13.892,1,2800,False,-54.52,-0.14,持仓35天强制出场
