ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
000712.SZ,20251013,14.71,102,6,20,18,22,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0253,0.0509,🟢 信号确认,0,14.44,14.44,0.6318
002626.SZ,20251013,20.09,99,6,14,25,6,15,15,12,12,WASHING,🟡 底部洗盘,-0.0837,0.0,🟢 信号确认,0,19.69,19.69,0.6755
600546.SH,20251013,10.16,106,5,18,15,16,15,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.023,0.0204,🟢 信号确认,0,10.01,10.14,0.6971
000735.SZ,20251013,6.47,93,5,18,21,11,8,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0403,0.0079,🟢 信号确认,0,6.38,6.38,0.7048
000567.SZ,20251013,6.67,90,5,16,21,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0595,0.0046,🟢 信号确认,0,6.57,6.57,0.6309
301622.SZ,20251013,86.7,88,5,18,25,8,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.1174,0.0058,🟢 信号确认,0,85.5,84.02,0.6123
601375.SH,20251013,4.58,88,5,14,12,21,15,15,-5,16,ACCUMULATING,🔥 主力吸筹,-0.0199,0.0363,🟢 信号确认,0,4.57,4.56,0.5227
600328.SH,20251013,8.01,86,5,18,25,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0631,0.0,🟢 信号确认,0,7.95,7.98,0.6299
002688.SZ,20251013,7.11,84,5,11,18,18,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.036,0.0307,🟢 信号确认,0,7.06,7.09,0.5747
002819.SZ,20251013,29.16,80,5,14,25,18,4,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0998,0.0294,🟢 信号确认,0,30.09,29.44,0.1983
605337.SH,20251013,12.73,86,4,10,15,25,4,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0358,0.0503,🟢 信号确认,0,13.58,12.81,0.1572
