ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
601975.SH,20230906,3.25,113,6,14,25,25,10,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.3052,0.0691,🟢 信号确认,0,3.25,3.18,0.4444
002073.SZ,20230906,6.97,110,6,18,21,21,15,7,12,16,ACCUMULATING,🔥 主力吸筹,-0.0502,0.0335,🟢 信号确认,0,6.79,7.06,0.6876
002510.SZ,20230906,3.95,106,6,18,15,18,15,12,12,16,ACCUMULATING,🔥 主力吸筹,-0.0362,0.0234,🟢 信号确认,0,3.94,3.96,0.5405
300627.SZ,20230906,31.99,89,5,10,21,8,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0445,0.008,🟢 信号确认,0,31.59,31.71,0.6834
002050.SZ,20230906,28.59,87,5,18,21,6,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0582,0.005,🟢 信号确认,0,28.06,28.06,0.6088
002705.SZ,20230906,18.06,85,5,18,18,9,8,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0311,0.0085,🟢 信号确认,0,17.7,18.15,0.705
605377.SH,20230906,21.48,72,5,16,25,21,2,5,15,12,ACCUMULATING,🔥 主力吸筹,-0.0698,0.0237,🟢 接近,1,20.26,20.07,0.8923
600449.SH,20230906,16.5,80,4,18,15,8,15,12,0,12,ACCUMULATING,🔥 主力吸筹,-0.0168,0.0055,🟢 信号确认,0,16.46,16.54,0.522
600826.SH,20230906,11.48,70,4,18,18,22,4,6,-10,12,ACCUMULATING,🔥 主力吸筹,-0.0331,0.0954,🟢 接近,1,11.83,11.96,0.2165
002532.SZ,20230908,6.71,107,6,7,25,25,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.1531,0.0405,🟢 信号确认,0,6.68,6.42,0.5152
601975.SH,20230908,3.25,101,5,14,25,25,10,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.275,0.0518,🟢 信号确认,0,3.25,3.18,0.453
002884.SZ,20230908,16.32,100,5,18,15,21,15,7,8,16,ACCUMULATING,🔥 主力吸筹,-0.0238,0.0335,🟢 信号确认,0,16.06,16.53,0.6931
002073.SZ,20230908,6.91,95,5,18,21,18,15,7,0,16,ACCUMULATING,🔥 主力吸筹,-0.0445,0.0241,🟢 信号确认,0,6.79,7.06,0.6224
300627.SZ,20230908,32.1,88,5,18,21,6,8,15,8,12,WASHING,🟡 底部洗盘,-0.0437,0.0038,🟢 信号确认,0,31.59,31.71,0.74
002526.SZ,20230908,2.69,81,4,18,12,22,10,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0217,0.1179,🟢 信号确认,0,2.75,2.77,0.303
002510.SZ,20230908,3.9,80,4,14,18,14,10,12,0,12,ACCUMULATING,🔥 主力吸筹,-0.0352,0.0155,🟢 信号确认,0,3.93,3.96,0.3765
600449.SH,20230908,16.95,80,4,14,12,11,8,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0228,0.0104,🟢 信号确认,0,16.54,16.54,0.7389
600826.SH,20230908,11.49,73,4,18,18,25,4,6,-10,12,ACCUMULATING,🔥 主力吸筹,-0.0284,0.0706,🟢 接近,1,11.83,11.96,0.2236
603297.SH,20230908,86.46,72,3,12,12,6,15,15,0,12,WASHING,🟡 底部洗盘,-0.0134,0.0,🟢 接近,1,86.17,86.17,0.5403
601116.SH,20230911,13.39,122,7,20,21,20,15,15,15,16,ACCUMULATING,🔥 主力吸筹,-0.0541,0.0547,🟢 信号确认,0,13.12,13.19,0.6676
