排名,代码,名称,板块,现价,涨跌%,市值亿,信号,动态信号,总分,量能分,收敛分,漂移分,获利分,峰位分,均线分,精度分,精度明细,集中度Δ,重心漂移,获利比,集中度,地量天,量恢复,中位成本,峰数,主峰价,+10%卖1/3,+25%二目标,硬止损-7%,操作建议
1,600673.SH,东阳光,综合类,34.14,-2.07,1027.5,🟢 信号确认,🔥 主力吸筹,121,14,25,25,15,15,15,12,"重心上移✓,集中度收敛✓,获利盘68%✓,筹码分散0.495✗",-8.7%,+5.82%,68.4%,49.5%,3,1.091,32.17,2,33.93,37.55,42.67,31.75,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
2,600795.SH,国电电力,火力发电,4.95,1.02,882.9,🟢 信号确认,🔥 主力吸筹,107,14,25,18,15,15,8,12,"重心未上移✗,集中度收敛✓,获利盘58%✓,筹码密集0.134✓",-12.9%,+2.51%,58.3%,13.4%,3,0.623,4.91,1,4.82,5.45,6.19,4.6,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
3,002867.SZ,周大生,服饰,12.57,-0.71,136.4,🟢 信号确认,🟡 底部洗盘,94,16,15,6,15,15,15,12,"重心未上移✗,集中度收敛✓,获利盘59%✓,筹码密集0.159✓",-2.1%,+0.00%,58.8%,15.9%,9,0.635,12.46,2,12.34,13.83,15.71,11.69,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
