ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal
CWK,C,2026-01-29,2026-01-30,16.406,2026-02-03,15.243,2,609,False,-713.34,-7.14,120,硬止损-7%,9996.49,ACCUMULATING
IBP,C,2026-01-30,2026-02-02,286.981,2026-02-18,324.906,11,34,True,1231.86,12.62,116,MA10追踪出场,9762.22,ACCUMULATING
NCLH,C,2026-01-30,2026-02-02,22.142,2026-03-02,22.164,19,451,True,329.02,3.29,111,成本止损,9991.09,ACCUMULATING
ARMK,C,2026-01-30,2026-02-02,38.431,2026-03-19,39.121,32,260,False,174.35,1.74,103,横盘32天出场,9996.98,ACCUMULATING
REZI,C,2026-02-02,2026-02-03,35.556,2026-03-03,35.591,19,281,True,468.53,4.69,123,成本止损,9996.1,ACCUMULATING
BWXT,C,2026-02-02,2026-02-03,209.92,2026-02-04,195.031,1,47,False,-704.4,-7.14,117,硬止损-7%,9871.19,ACCUMULATING
GRMN,C,2026-02-02,2026-02-03,204.322,2026-03-05,239.014,21,48,True,1566.25,15.96,108,MA10追踪出场,9812.35,ACCUMULATING
LAZ,C,2026-02-03,2026-02-04,52.03,2026-02-12,52.082,6,192,True,313.98,3.14,112,成本止损,9994.82,ACCUMULATING
ANET,C,2026-02-03,2026-02-04,138.138,2026-02-05,128.34,1,72,False,-710.09,-7.14,107,硬止损-7%,9950.91,ACCUMULATING
RHP,C,2026-02-03,2026-02-04,94.792,2026-02-27,97.353,16,105,False,263.81,2.65,107,横盘16天出场,9958.1,ACCUMULATING
CAH,C,2026-02-04,2026-02-05,216.692,2026-03-04,222.418,18,46,False,258.28,2.59,110,横盘18天出场,9972.8,ACCUMULATING
WWW,C,2026-02-04,2026-02-05,18.236,2026-02-23,16.942,11,548,False,-713.47,-7.14,109,硬止损-7%,9998.27,ACCUMULATING
VRT,C,2026-02-04,2026-02-05,176.424,2026-03-03,244.137,17,56,True,3015.23,30.5,106,MA10追踪出场,9884.7,ACCUMULATING
META,C,2026-02-05,2026-02-06,665.586,2026-03-02,652.348,15,15,False,-203.46,-2.04,108,横盘15天出场,9988.78,ACCUMULATING
NSP,C,2026-02-05,2026-02-06,39.351,2026-02-09,36.56,1,254,False,-713.61,-7.14,105,硬止损-7%,10000.26,ACCUMULATING
LII,C,2026-02-05,2026-02-06,523.956,2026-03-05,526.645,18,19,False,46.08,0.46,104,横盘18天出场,9960.15,ACCUMULATING
LDOS,C,2026-02-06,2026-02-09,194.033,2026-02-11,180.27,2,51,False,-706.5,-7.14,98,硬止损-7%,9900.64,ACCUMULATING
PSN,C,2026-02-06,2026-02-09,69.64,2026-02-11,64.7,2,143,False,-710.98,-7.14,97,硬止损-7%,9963.44,ACCUMULATING
URG,C,2026-02-06,2026-02-09,1.592,2026-03-03,1.588,15,6283,False,-24.97,-0.25,90,横盘15天出场,10004.96,ACCUMULATING
NWE,C,2026-02-09,2026-02-10,66.795,2026-03-09,68.541,18,149,False,255.01,2.56,107,横盘18天出场,9957.47,ACCUMULATING
HCA,C,2026-02-09,2026-02-10,497.978,2026-03-17,509.36,24,20,False,222.56,2.23,100,横盘24天出场,9964.53,ACCUMULATING
VRTX,C,2026-02-09,2026-02-10,470.3,2026-03-04,477.412,15,21,False,144.35,1.46,92,横盘15天出场,9881.23,ACCUMULATING
CTAS,C,2026-02-10,2026-02-11,199.211,2026-03-05,204.325,15,50,False,250.6,2.51,72,横盘15天出场,9965.54,ACCUMULATING
WBD,C,2026-02-11,2026-02-12,28.158,2026-03-06,27.922,15,355,False,-88.76,-0.89,106,横盘15天出场,10001.13,ACCUMULATING
UAL,C,2026-02-11,2026-02-12,115.045,2026-02-23,106.885,6,86,False,-706.37,-7.14,88,硬止损-7%,9898.81,ACCUMULATING
CRH,C,2026-02-13,2026-02-17,122.182,2026-03-03,113.516,10,81,False,-706.57,-7.14,91,硬止损-7%,9901.7,ACCUMULATING
OXM,C,2026-02-19,2026-02-20,38.827,2026-03-09,36.073,11,257,False,-712.42,-7.14,84,硬止损-7%,9983.56,ACCUMULATING
FFIV,C,2026-02-19,2026-02-20,279.279,2026-03-16,283.446,16,35,False,140.89,1.44,78,横盘16天出场,9779.65,ACCUMULATING
RGR,C,2026-02-27,2026-03-02,37.269,2026-03-30,39.98,20,268,True,948.28,9.49,100,MA10追踪出场,9993.17,ACCUMULATING
SATS,C,2026-02-27,2026-03-02,117.277,2026-03-06,108.959,4,85,False,-711.7,-7.14,96,硬止损-7%,9973.54,ACCUMULATING
BSTZ,C,2026-02-27,2026-03-02,22.182,2026-03-09,20.609,5,450,False,-712.65,-7.14,72,硬止损-7%,9986.9,ACCUMULATING
WBD,C,2026-03-02,2026-03-03,28.328,2026-04-01,27.463,21,353,False,-310.47,-3.1,113,横盘21天出场,10004.89,ACCUMULATING
