ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
002250.SZ,122,7,20251029,20251031,11.854,20251120,13.124,14,3300,True,3939.45,10.06,MA10追踪出场
688429.SH,113,7,20251113,20251114,17.244,20251120,16.005,4,2300,False,-2886.94,-7.27,硬止损-9%
300244.SZ,85,6,20251114,20251118,16.814,20251121,15.605,3,2300,False,-2814.8,-7.27,硬止损-9%
601688.SH,112,6,20251205,20251208,22.705,20260108,23.902,21,1700,True,2754.29,7.13,MA10追踪出场
000680.SZ,105,6,20251224,20251226,11.553,20260114,12.206,11,3400,True,2440.14,6.21,MA10追踪出场
688222.SH,104,6,20251230,20260105,26.192,20260119,32.734,10,1500,True,8063.06,20.5,MA10追踪出场
605555.SH,100,6,20251230,20260105,18.938,20260126,18.912,15,2100,False,-93.69,-0.24,横盘15天出场
002552.SZ,96,6,20251230,20260107,17.495,20260130,19.212,17,2200,True,3168.91,8.23,MA10追踪出场
300443.SZ,101,6,20260105,20260106,29.759,20260127,30.16,15,1300,False,481.0,1.24,横盘15天出场
600737.SH,115,6,20260106,20260109,17.274,20260130,17.705,15,2300,False,948.37,2.38,横盘15天出场
603271.SH,91,6,20260106,20260107,42.154,20260130,43.722,17,900,True,2368.07,6.24,MA10追踪出场
002533.SZ,109,6,20260107,20260108,13.026,20260127,13.683,13,3000,True,2556.8,6.54,MA10追踪出场
000338.SZ,117,7,20260108,20260109,18.377,20260202,22.525,16,2100,True,7009.85,18.15,MA10追踪出场
600995.SH,101,6,20260108,20260112,13.206,20260127,13.812,11,3000,True,2135.36,5.38,MA10追踪出场
002484.SZ,107,6,20260109,20260112,31.874,20260114,29.583,2,1200,False,-2784.03,-7.27,硬止损-9%
000061.SZ,111,7,20260112,20260114,9.96,20260127,9.244,9,4000,False,-2899.84,-7.27,硬止损-9%
002445.SZ,108,6,20260113,20260114,2.735,20260204,2.744,15,14600,False,91.91,0.23,横盘15天出场
300360.SZ,117,6,20260114,20260116,18.226,20260130,16.917,10,2100,False,-2786.0,-7.27,硬止损-9%
000786.SZ,107,7,20260116,20260120,26.874,20260210,28.184,15,1400,True,2316.8,6.15,MA10追踪出场
002612.SZ,97,6,20260119,20260121,20.922,20260127,19.418,4,1900,False,-2893.43,-7.27,硬止损-9%
600186.SH,98,6,20260120,20260123,6.363,20260129,5.905,4,6200,False,-2871.4,-7.27,硬止损-9%
600871.SH,88,6,20260120,20260122,2.605,20260205,2.874,10,15300,True,4291.15,10.75,MA10追踪出场
600757.SH,96,6,20260127,20260129,9.198,20260227,9.152,15,4300,False,-240.16,-0.61,横盘15天出场
