rank,stop_loss,partial_sell,stale_early,stale_force,trail_ma,trail_ma_late,max_hold,sideways_thr,min_score,yellow_score,min_green,use_atr,atr_mult,use_ratchet,ratchet_pct,grace_days,grace_mult,group,trades,win_rate,wl_ratio,pf,total_pnl,avg_pnl_pct,max_dd_streak,avg_days,partial_rate
97,-0.12,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.26,2.69,68083.0,3.74,3,12.8,30.4
98,-0.12,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SL,46,54.3,2.26,2.69,68083.0,3.74,3,12.8,30.4
99,-0.15,0.1,18,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,60.9,1.73,2.69,77032.0,4.23,3,21.7,47.8
100,-0.13,0.25,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,2.94,2.69,61552.0,3.38,5,15.8,15.2
101,-0.12,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.26,2.69,67982.0,3.74,3,13.0,30.4
102,-0.09,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.26,2.69,66821.0,3.68,3,11.8,34.8
103,-0.15,0.15,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.2,2.69,65268.0,3.59,4,17.6,26.1
104,-0.15,0.1,18,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,60.9,1.73,2.69,76813.0,4.22,3,21.0,47.8
105,-0.11,0.2,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.69,2.69,65937.0,3.63,4,13.4,19.6
106,-0.13,0.12,10,25,10,20,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.26,2.69,59113.0,3.25,3,15.3,30.4
107,-0.15,0.2,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,41.3,3.81,2.68,67638.0,3.73,4,18.2,21.7
108,-0.15,0.1,20,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,60.9,1.73,2.68,76973.0,4.23,3,22.1,47.8
109,-0.12,0.14,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,54.3,2.25,2.68,67554.0,3.71,3,13.0,28.3
110,-0.15,0.1,20,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,60.9,1.72,2.68,76755.0,4.22,3,21.4,47.8
111,-0.1,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.25,2.68,66082.0,3.63,3,12.9,26.1
112,-0.15,0.12,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.45,2.68,73179.0,4.02,4,20.5,34.8
113,-0.11,0.18,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.45,2.68,64626.0,3.55,3,13.2,21.7
114,-0.15,0.1,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.24,2.67,71135.0,3.92,4,19.6,43.5
115,-0.11,0.2,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.67,2.67,65305.0,3.59,4,13.4,19.6
116,-0.15,0.18,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.67,2.67,73781.0,4.07,4,21.2,28.3
117,-0.15,0.15,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.18,2.67,64541.0,3.55,4,17.7,26.1
118,-0.09,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.24,2.67,65935.0,3.63,3,12.5,26.1
119,-0.15,0.2,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.67,2.67,65646.0,3.61,4,15.7,19.6
120,-0.15,0.12,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.45,2.67,72741.0,4.0,4,20.7,34.8
121,-0.11,0.18,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.44,2.66,64106.0,3.52,3,13.3,21.7
122,-0.15,0.25,20,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.24,2.66,81423.0,4.47,4,26.4,23.9
123,-0.1,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.23,2.66,65355.0,3.59,3,13.1,26.1
124,-0.15,0.18,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.43,2.66,64336.0,3.54,3,15.6,21.7
125,-0.15,0.25,18,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.23,2.65,81390.0,4.47,4,25.6,23.9
126,-0.12,0.1,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.23,2.65,66416.0,3.65,3,12.7,34.8
127,-0.15,0.18,15,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.65,2.65,72923.0,4.02,4,21.3,28.3
128,-0.15,0.2,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.65,2.65,65014.0,3.58,4,15.8,19.6
129,-0.09,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.23,2.65,65208.0,3.59,3,12.6,26.1
130,-0.12,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.22,2.65,66154.0,3.64,3,12.4,34.8
131,-0.12,0.1,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,54.3,2.22,2.65,66154.0,3.64,3,12.4,34.8
132,-0.15,0.18,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.42,2.64,63815.0,3.51,3,15.7,21.7
133,-0.13,0.1,10,25,10,20,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.22,2.64,57393.0,3.16,3,15.0,34.8
134,-0.15,0.15,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.41,2.63,71207.0,3.91,4,20.8,30.4
135,-0.08,0.12,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.21,2.63,67084.0,3.69,3,11.9,30.4
136,-0.08,0.12,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.21,2.63,66982.0,3.69,3,12.1,30.4
137,-0.13,0.12,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.13,2.63,66085.0,3.64,4,16.5,30.4
138,-0.13,0.12,12,25,5,15,60,0.03,100,105,7,False,-,False,-,0,-,HIGH_SCORE,46,45.7,3.13,2.63,66085.0,3.64,4,16.5,30.4
139,-0.13,0.12,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_SE,46,45.7,3.13,2.63,66085.0,3.64,4,16.5,30.4
140,-0.15,0.12,18,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,58.7,1.85,2.63,78197.0,4.29,4,23.0,39.1
141,-0.12,0.15,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.2,2.62,65269.0,3.59,3,13.1,26.1
142,-0.13,0.12,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.12,2.62,65983.0,3.63,4,16.6,30.4
143,-0.13,0.12,12,25,7,15,60,0.03,100,105,7,False,-,False,-,0,-,HIGH_SCORE,46,45.7,3.12,2.62,65983.0,3.63,4,16.6,30.4
144,-0.14,0.25,15,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,47.8,2.86,2.62,77529.0,4.27,4,21.9,21.7
145,-0.15,0.12,20,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,58.7,1.84,2.62,78180.0,4.29,4,23.7,39.1
146,-0.13,0.14,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,FINE_COMBO,46,45.7,3.11,2.61,65556.0,3.61,4,16.6,28.3
147,-0.13,0.15,10,25,10,20,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.19,2.61,56488.0,3.11,3,15.5,26.1
