rank,stop_loss,partial_sell,stale_early,stale_force,trail_ma,trail_ma_late,max_hold,sideways_thr,min_score,yellow_score,min_green,use_atr,atr_mult,use_ratchet,ratchet_pct,grace_days,grace_mult,group,trades,win_rate,wl_ratio,pf,total_pnl,avg_pnl_pct,max_dd_streak,avg_days,partial_rate
185,-0.09,0.18,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.34,2.55,62450.0,3.43,3,12.8,21.7
186,-0.15,0.18,18,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,58.7,1.8,2.55,74734.0,4.12,4,24.3,30.4
187,-0.13,0.18,10,25,10,20,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.34,2.55,55415.0,3.05,3,15.7,21.7
188,-0.15,0.2,18,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,56.5,1.96,2.54,75868.0,4.18,4,24.6,28.3
189,-0.08,0.15,10,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.14,2.54,63542.0,3.5,3,12.3,26.1
190,-0.15,0.18,20,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,58.7,1.79,2.54,74577.0,4.11,4,25.0,30.4
191,-0.14,0.25,20,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.13,2.54,80359.0,4.42,4,25.5,23.9
192,-0.13,0.15,12,25,7,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,45.7,3.02,2.54,62544.0,3.44,4,16.8,26.1
193,-0.13,0.15,12,25,7,15,60,0.03,100,105,7,False,-,False,-,0,-,HIGH_SCORE,46,45.7,3.02,2.54,62544.0,3.44,4,16.8,26.1
194,-0.12,0.2,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,50.0,2.54,2.54,63614.0,3.5,4,13.4,19.6
195,-0.14,0.25,18,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.13,2.53,80326.0,4.42,4,24.8,23.9
196,-0.15,0.25,12,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,39.1,3.94,2.53,61598.0,3.39,5,18.4,17.4
197,-0.14,0.1,10,25,10,20,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,54.3,2.12,2.53,55845.0,3.07,3,15.2,34.8
198,-0.13,0.15,15,25,7,15,60,0.03,60,105,7,False,-,True,0.07,0,-,RATCHET,46,50.0,2.53,2.53,68302.0,3.76,4,19.6,30.4
199,-0.12,0.18,10,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,52.2,2.31,2.52,62304.0,3.42,3,13.3,21.7
200,-0.15,0.15,18,25,5,15,60,0.03,60,105,7,False,-,False,-,0,-,CORE,46,58.7,1.77,2.52,73245.0,4.02,4,23.6,32.6
