ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
605488.SH,101,6,20230721,20230725,15.932,20230728,14.787,3,2500,False,-2899.12,-7.27,硬止损-9%
300917.SZ,103,6,20230724,20230725,30.311,20230727,30.31,2,1300,True,1152.41,2.92,成本止损
002697.SZ,91,6,20230801,20230802,6.182,20230809,5.738,5,6400,False,-2880.01,-7.27,硬止损-9%
688363.SH,107,6,20230814,20230817,97.996,20230822,90.954,3,400,False,-2853.17,-7.27,硬止损-9%
300355.SZ,98,6,20230814,20230817,3.808,20230824,3.534,5,10500,False,-2910.06,-7.27,硬止损-9%
600279.SH,108,6,20230816,20230818,4.429,20230825,4.111,5,9000,False,-2901.3,-7.27,硬止损-9%
300036.SZ,106,7,20230817,20230822,22.575,20230825,20.953,3,1700,False,-2793.43,-7.27,硬止损-9%
300201.SZ,100,6,20230821,20230823,3.998,20230830,3.998,5,10000,True,499.52,1.25,成本止损
600117.SH,88,6,20230821,20230825,3.016,20230926,3.363,22,13200,True,4275.96,10.73,MA10追踪出场
002572.SZ,102,6,20230822,20230828,18.246,20230908,19.561,9,2100,True,2998.28,7.82,MA10追踪出场
002050.SZ,101,6,20230828,20230829,30.17,20230904,28.002,4,1300,False,-2854.84,-7.27,硬止损-9%
002572.SZ,110,6,20230829,20230830,19.228,20230908,19.561,7,2000,True,1259.81,3.27,MA10追踪出场
688198.SH,110,6,20230901,20230907,127.354,20231019,130.089,24,300,False,781.5,2.04,横盘24天出场
001227.SZ,115,7,20230921,20230922,3.206,20231019,2.976,13,12400,False,-2894.01,-7.27,硬止损-9%
603009.SH,102,6,20230926,20230928,7.515,20231109,10.349,24,5300,True,11051.5,27.72,MA10追踪出场
300611.SZ,118,7,20231010,20231012,11.723,20231019,10.881,5,3400,False,-2901.3,-7.27,硬止损-9%
000564.SZ,100,6,20231012,20231017,1.283,20231023,1.19,4,31100,False,-2903.35,-7.27,硬止损-9%
002896.SZ,112,6,20231031,20231103,38.948,20231128,38.253,17,1000,False,-732.65,-1.88,横盘17天出场
688685.SH,103,7,20231101,20231106,20.441,20231124,21.168,14,1900,True,1615.84,4.16,MA10追踪出场
688676.SH,96,6,20231106,20231108,33.557,20231130,31.146,16,1100,False,-2686.81,-7.27,硬止损-9%
688685.SH,107,6,20231109,20231113,21.553,20231214,23.303,23,1800,True,3419.62,8.81,MA10追踪出场
002426.SZ,118,7,20231110,20231114,2.655,20231206,2.464,16,15000,False,-2899.12,-7.27,硬止损-9%
688050.SH,118,7,20231123,20231124,189.378,20231214,175.769,14,200,False,-2756.89,-7.27,硬止损-9%
600336.SH,95,6,20231128,20231204,5.772,20231220,5.771,12,6900,True,319.89,0.8,成本止损
002279.SZ,103,6,20231201,20231204,7.315,20231220,6.789,12,5400,False,-2875.05,-7.27,硬止损-9%
300466.SZ,107,7,20231205,20231206,7.455,20231218,7.725,8,5300,True,1489.85,3.77,MA10追踪出场
002957.SZ,106,6,20231206,20231211,18.186,20231218,16.879,5,2100,False,-2779.87,-7.27,硬止损-9%
003040.SZ,113,7,20231218,20231222,18.918,20240110,17.558,12,2100,False,-2891.68,-7.27,硬止损-9%
603883.SH,107,6,20231221,20231227,30.14,20240118,30.199,15,1300,False,37.86,0.1,横盘15天出场
605599.SH,100,6,20231221,20231226,14.228,20240117,14.401,15,2800,False,443.35,1.11,横盘15天出场
300488.SZ,95,6,20231222,20231225,24.609,20240108,24.609,9,1600,True,928.39,2.36,成本止损
688486.SH,104,6,20231225,20231229,119.008,20240103,110.456,2,300,False,-2598.7,-7.27,硬止损-9%
002045.SZ,112,7,20231226,20231229,16.683,20240104,15.484,3,2300,False,-2793.0,-7.27,硬止损-9%
688352.SH,117,6,20231227,20231229,15.441,20240103,14.331,2,2500,False,-2809.77,-7.27,硬止损-9%
688581.SH,111,6,20231227,20231229,125.06,20240108,116.073,5,300,False,-2730.86,-7.27,硬止损-9%
688332.SH,105,6,20231228,20231229,75.571,20240104,70.14,3,500,False,-2750.33,-7.27,硬止损-9%
600023.SH,122,7,20231229,20240102,4.91,20240123,4.89,15,8100,False,-198.37,-0.5,横盘15天出场
300488.SZ,118,6,20231229,20240104,26.653,20240108,24.738,2,1500,False,-2910.06,-7.27,硬止损-9%
300842.SZ,99,6,20240102,20240108,72.745,20240119,74.7,9,500,True,1284.17,3.53,MA10追踪出场
002867.SZ,98,6,20240109,20240112,16.262,20240202,15.748,15,2400,False,-1271.44,-3.25,横盘15天出场
002521.SZ,98,6,20240115,20240118,8.317,20240122,7.719,2,4800,False,-2905.68,-7.27,硬止损-9%
001308.SZ,118,7,20240117,20240118,27.605,20240123,25.621,3,1400,False,-2813.05,-7.27,硬止损-9%
002867.SZ,106,6,20240130,20240205,16.433,20240226,17.804,9,2400,True,3725.57,9.44,MA10追踪出场
603367.SH,92,6,20240408,20240411,15.301,20240515,16.427,21,2600,True,3125.57,7.85,MA10追踪出场
601800.SH,95,6,20240410,20240415,9.399,20240510,9.152,16,4200,False,-1076.26,-2.72,横盘16天出场
002043.SZ,102,6,20240419,20240425,10.721,20240523,12.006,17,3700,True,4289.64,10.8,MA10追踪出场
601963.SH,104,6,20240423,20240429,7.505,20240606,7.675,25,5300,False,858.42,2.16,横盘25天出场
001213.SZ,91,6,20240423,20240429,4.299,20240523,4.202,15,9300,False,-941.17,-2.35,横盘15天出场
000507.SZ,95,6,20240506,20240509,5.07,20240603,4.706,17,7800,False,-2878.55,-7.27,硬止损-9%
002630.SZ,107,6,20240507,20240509,2.745,20240531,2.548,16,14500,False,-2897.66,-7.27,硬止损-9%
000617.SZ,95,6,20240507,20240513,6.062,20240530,5.626,13,6500,False,-2868.12,-7.27,硬止损-9%
000063.SZ,108,6,20240513,20240516,28.587,20240530,26.533,10,1300,False,-2705.04,-7.27,硬止损-9%
601528.SH,89,6,20240514,20240516,5.261,20240611,4.882,17,7600,False,-2910.06,-7.27,硬止损-9%
002165.SZ,112,7,20240529,20240530,3.757,20240604,3.487,3,10600,False,-2899.12,-7.27,硬止损-9%
300832.SZ,122,7,20240611,20240612,76.332,20240614,70.847,2,500,False,-2778.05,-7.27,硬止损-9%
688146.SH,114,6,20240611,20240613,30.942,20240625,28.718,8,1200,False,-2702.63,-7.27,硬止损-9%
300294.SZ,104,6,20240617,20240621,32.916,20240718,32.916,19,1200,True,1032.51,2.61,成本止损
603855.SH,113,7,20240619,20240625,22.445,20240705,20.832,8,1700,False,-2777.32,-7.27,硬止损-9%
600033.SH,107,6,20240624,20240628,3.357,20240731,3.693,23,11900,True,3992.15,9.98,MA10追踪出场
300360.SZ,106,7,20240625,20240628,17.034,20240703,15.81,3,2300,False,-2851.71,-7.27,硬止损-9%
300360.SZ,112,6,20240708,20240709,16.212,20240716,15.047,5,2400,False,-2832.16,-7.27,硬止损-9%
600216.SH,109,6,20240710,20240711,11.323,20240813,14.89,23,3500,True,9593.89,24.19,MA10追踪出场
600893.SH,101,6,20240715,20240718,39.078,20240808,37.984,15,1000,False,-1132.1,-2.89,横盘15天出场
300855.SZ,96,6,20240729,20240731,26.763,20240805,24.84,3,1400,False,-2727.28,-7.27,硬止损-9%
300761.SZ,106,6,20240731,20240802,23.146,20240814,21.483,8,1700,False,-2864.11,-7.27,硬止损-9%
003043.SZ,92,6,20240814,20240815,40.691,20240820,37.767,3,900,False,-2665.65,-7.27,硬止损-9%
600757.SH,97,6,20240822,20240823,8.417,20240913,8.633,15,4700,False,974.16,2.46,横盘15天出场
300337.SZ,108,6,20240823,20240826,7.816,20240828,7.254,2,5100,False,-2901.3,-7.27,硬止损-9%
301363.SZ,105,6,20240827,20240829,28.928,20240911,26.849,9,1300,False,-2737.28,-7.27,硬止损-9%
600012.SH,110,6,20240830,20240902,15.932,20240910,14.787,6,2500,False,-2899.12,-7.27,硬止损-9%
301116.SZ,95,6,20240903,20240909,10.09,20241016,11.357,20,3900,True,4469.68,11.35,MA10追踪出场
300348.SZ,106,6,20240904,20240905,7.705,20241024,16.786,28,5100,True,32261.38,82.01,MA10追踪出场
300222.SZ,104,6,20240905,20240910,5.922,20241016,7.475,19,6700,True,8501.36,21.41,MA10追踪出场
301116.SZ,115,7,20240911,20240919,10.13,20241016,11.357,14,3900,True,4313.37,10.91,MA10追踪出场
300348.SZ,106,6,20240911,20240912,7.786,20241024,16.786,23,5100,True,31852.57,80.14,MA10追踪出场
002024.SZ,111,6,20240912,20240918,1.363,20241015,1.507,14,29300,True,3989.25,9.98,MA10追踪出场
300183.SZ,122,7,20240919,20240923,13.437,20241015,16.178,11,2900,True,5981.06,15.33,MA10追踪出场
601236.SH,99,6,20240919,20240924,7.094,20241015,8.323,10,5600,True,6154.1,15.48,MA10追踪出场
301498.SZ,110,7,20240920,20240924,51.653,20241016,57.924,11,700,True,4332.03,11.97,MA10追踪出场
301116.SZ,107,7,20240920,20240926,10.651,20241016,11.357,9,3700,True,3252.91,8.25,MA10追踪出场
600456.SH,103,6,20240920,20240924,26.403,20241017,30.748,12,1500,True,5881.09,14.83,MA10追踪出场
300298.SZ,96,6,20240924,20240926,25.421,20241015,27.724,8,1500,True,3783.89,9.91,MA10追踪出场
300463.SZ,108,6,20240926,20240927,12.886,20241015,13.723,7,3100,True,3257.13,8.15,MA10追踪出场
603511.SH,118,7,20241105,20241107,12.004,20241128,12.136,15,3300,False,394.63,1.0,横盘15天出场
002603.SZ,114,7,20241106,20241107,17.956,20241125,16.666,12,2200,False,-2875.34,-7.27,硬止损-9%
002907.SZ,80,6,20241106,20241107,14.278,20241118,13.252,7,2800,False,-2910.06,-7.27,硬止损-9%
000888.SZ,78,6,20241206,20241210,13.557,20241218,13.713,6,2900,True,1093.02,2.78,MA10追踪出场
300138.SZ,107,6,20241209,20241212,9.599,20241219,8.909,5,4100,False,-2864.69,-7.27,硬止损-9%
000998.SZ,115,7,20241216,20241217,11.323,20241225,10.509,6,3500,False,-2884.53,-7.27,硬止损-9%
600019.SH,118,7,20241220,20241223,7.004,20250113,6.501,14,5700,False,-2905.9,-7.27,硬止损-9%
002155.SZ,104,6,20250124,20250205,18.056,20250303,17.834,18,2200,False,-527.15,-1.33,横盘18天出场
