ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
688685.SH,110,7,20231106,20231108,20.922,20231124,21.168,12,1900,False,426.84,1.07,横盘12天出场
688050.SH,118,7,20231123,20231124,189.378,20240104,164.429,28,200,False,-5022.62,-13.25,硬止损-13%
000063.SZ,110,7,20240507,20240513,28.647,20240614,27.764,23,1300,False,-1183.76,-3.18,横盘23天出场
603511.SH,118,7,20241105,20241107,12.004,20241121,12.106,10,3300,False,295.93,0.75,横盘10天出场
002603.SZ,114,7,20241106,20241107,17.956,20241121,17.495,10,2200,False,-1052.47,-2.66,横盘10天出场
000888.SZ,116,7,20241209,20241210,13.557,20241224,13.822,10,2900,False,729.11,1.85,横盘10天出场
000998.SZ,115,7,20241216,20241217,11.323,20241231,11.148,10,3500,False,-651.31,-1.64,横盘10天出场
600019.SH,118,7,20241220,20241223,7.004,20250124,6.806,23,5700,False,-1165.23,-2.92,横盘23天出场
002276.SZ,119,7,20250213,20250217,9.148,20250311,16.337,16,4300,True,22481.59,57.09,MA5追踪出场
688097.SH,122,7,20250214,20250219,28.667,20250228,28.667,7,1300,True,1488.17,3.99,成本止损
688548.SH,117,7,20250305,20250306,11.333,20250325,11.108,13,3500,False,-825.96,-2.08,横盘13天出场
688037.SH,109,7,20250508,20250513,98.958,20250605,96.507,16,400,False,-1018.97,-2.57,横盘16天出场
003039.SZ,113,7,20250514,20250519,13.978,20250603,14.012,10,2800,False,56.02,0.14,横盘10天出场
003039.SZ,111,7,20250522,20250526,14.028,20250610,13.892,10,2800,False,-419.25,-1.07,横盘10天出场
600111.SH,123,7,20250625,20250630,24.95,20250731,37.425,23,1600,True,15415.25,38.58,MA5追踪出场
300398.SZ,108,7,20250703,20250708,20.371,20250725,19.75,13,1900,False,-1215.98,-3.14,横盘13天出场
600111.SH,106,7,20250703,20250708,24.94,20250731,37.425,17,1600,True,15425.58,38.62,MA5追踪出场
601377.SH,117,7,20250704,20250710,6.323,20250731,6.487,15,6300,False,994.73,2.49,横盘15天出场
688563.SH,117,7,20250707,20250711,57.525,20250725,58.932,10,600,False,808.89,2.34,横盘10天出场
002440.SZ,115,7,20250715,20250721,8.006,20250903,6.951,32,4900,False,-5202.13,-13.25,硬止损-13%
002761.SZ,109,7,20250715,20250721,9.639,20250725,9.76,4,4100,True,742.04,1.88,MA5追踪出场
002079.SZ,115,7,20250718,20250722,10.22,20250805,10.04,10,3900,False,-743.18,-1.86,横盘10天出场
600053.SH,112,7,20250718,20250723,16.222,20250806,15.848,10,2400,False,-935.97,-2.4,横盘10天出场
002338.SZ,116,7,20250723,20250724,47.495,20250825,55.379,22,800,True,6017.42,15.82,MA5追踪出场
600172.SH,114,7,20250730,20250805,4.569,20250815,4.96,8,8700,True,4080.17,10.25,MA5追踪出场
000795.SZ,111,7,20250811,20250815,11.794,20250901,12.056,11,3300,False,825.81,2.12,横盘11天出场
600206.SH,122,7,20250812,20250813,19.539,20250903,21.866,15,2000,True,4203.85,10.75,MA5追踪出场
300541.SZ,100,7,20250813,20250815,16.643,20250902,16.657,12,2400,False,-7.82,-0.02,横盘12天出场
603738.SH,126,7,20250815,20250818,15.972,20250901,15.758,10,2500,False,-573.05,-1.43,横盘10天出场
000676.SZ,111,7,20250815,20250818,9.158,20250902,11.457,11,4300,True,8415.06,21.35,MA5追踪出场
300663.SZ,113,7,20250818,20250819,20.11,20251013,17.461,33,1900,False,-5066.86,-13.25,硬止损-13%
300925.SZ,110,7,20250818,20250821,25.341,20250911,25.01,15,1500,False,-533.56,-1.4,横盘15天出场
000555.SZ,113,7,20250820,20250821,14.028,20250828,14.89,5,2800,True,3215.82,8.18,MA5追踪出场
601222.SH,111,7,20250820,20250825,6.012,20250916,6.178,16,6600,False,1052.32,2.65,横盘16天出场
300129.SZ,125,7,20250821,20250825,7.816,20250908,7.864,10,5100,False,207.96,0.52,横盘10天出场
002093.SZ,114,7,20250821,20250826,13.307,20250904,11.554,7,3000,False,-5293.68,-13.25,硬止损-13%
300737.SZ,111,7,20250821,20250825,5.591,20251125,5.269,60,7100,False,-2321.63,-5.84,持仓60天强制出场
002612.SZ,121,7,20250829,20250901,18.687,20250915,18.463,10,2100,False,-509.8,-1.3,横盘10天出场
600478.SH,120,7,20250902,20250904,6.162,20250917,6.617,9,6400,True,3054.5,7.74,MA5追踪出场
000987.SZ,112,7,20250911,20250917,7.735,20251009,7.854,10,5100,False,565.93,1.43,横盘10天出场
002250.SZ,122,7,20251029,20251031,11.854,20251118,14.082,12,3300,True,6045.12,15.44,MA5追踪出场
000680.SZ,109,7,20251222,20251226,11.553,20260122,12.325,17,3400,True,3132.06,7.97,MA5追踪出场
000338.SZ,117,7,20260108,20260109,18.377,20260129,23.184,14,2100,True,8447.53,21.87,MA5追踪出场
000061.SZ,111,7,20260112,20260114,9.96,20260130,9.671,12,4000,False,-1195.72,-3.0,横盘12天出场
000786.SZ,107,7,20260116,20260120,26.874,20260213,26.996,18,1400,False,133.37,0.35,横盘18天出场
605555.SH,121,7,20260122,20260123,19.198,20260210,19.162,12,2000,False,-111.76,-0.29,横盘12天出场
