排名,代码,名称,板块,现价,涨跌%,市值亿,信号,动态信号,总分,量能分,收敛分,漂移分,获利分,峰位分,均线分,精度分,精度明细,集中度Δ,重心漂移,获利比,集中度,地量天,量恢复,中位成本,峰数,主峰价,+10%卖1/3,+25%二目标,硬止损-7%,操作建议
1,300444.SZ,双杰电气,电气设备,16.21,-3.68,129.5,🟢 信号确认,🔥 主力吸筹,109,20,15,21,20,12,8,13,"重心上移✓,集中度收敛✓,获利盘66%✓,筹码分散0.479✗",-8.5%,+3.49%,65.7%,47.9%,9,0.911,15.43,3,16.69,17.83,20.26,15.08,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
2,002380.SZ,科远智慧,软件服务,36.21,-1.34,86.9,🟢 信号确认,🔥 主力吸筹,108,20,15,30,10,10,15,8,"重心上移✓,集中度收敛✓,获利盘81%✗,筹码分散0.323✗",-11.2%,+5.39%,81.4%,32.3%,7,0.964,34.05,4,33.81,39.83,45.26,33.68,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
3,300788.SZ,中信出版,出版业,33.85,-3.67,64.4,🟢 信号确认,🔥 主力吸筹,96,20,15,18,20,15,-5,13,"重心上移✓,集中度收敛✓,获利盘42%✓,筹码分散0.398✗",-7.7%,+1.93%,42.1%,39.8%,8,0.981,34.38,4,33.16,37.24,42.31,31.48,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
4,601118.SH,海南橡胶,橡胶,7.6,0.53,325.2,🟢 信号确认,🟡 底部洗盘,83,20,11,7,20,2,15,8,"重心未上移✗,集中度收敛✓,获利盘79%✓,筹码分散0.308✗",-3.2%,-0.29%,78.7%,30.8%,7,0.951,6.9,3,6.81,8.36,9.5,7.07,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
