ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal,green_count
SU,C,2025-09-05,2025-09-08,39.832,2025-10-01,40.902,17,251,False,263.53,2.63,107,横盘17天出场,10002.76,ACCUMULATING,7
HUYA,C,2025-09-08,2025-09-09,3.493,2025-10-09,3.176,22,2862,False,-913.5,-9.13,123,硬止损-9%,10003.37,ACCUMULATING,7
IDT,C,2025-09-10,2025-09-11,64.095,2025-09-30,58.268,13,156,False,-913.54,-9.13,118,硬止损-9%,10003.82,ACCUMULATING,7
APG,C,2025-09-10,2025-09-11,35.385,2025-10-02,34.406,15,282,False,-281.15,-2.82,117,横盘15天出场,9983.66,ACCUMULATING,7
NVST,C,2025-09-10,2025-09-11,20.841,2025-10-02,20.549,15,479,False,-144.5,-1.45,111,横盘15天出场,9987.74,ACCUMULATING,7
JKS,C,2025-09-11,2025-09-12,24.264,2025-10-03,24.715,15,412,False,180.73,1.81,125,横盘15天出场,10001.87,ACCUMULATING,7
VAC,C,2025-09-16,2025-09-17,75.39,2025-09-25,68.536,6,132,False,-909.21,-9.13,118,硬止损-9%,9956.47,ACCUMULATING,7
FNF,C,2025-09-16,2025-09-17,55.568,2025-10-24,53.919,27,179,False,-300.12,-3.02,105,横盘27天出场,9951.68,ACCUMULATING,7
HOV,C,2025-09-17,2025-09-18,149.039,2025-09-22,135.49,2,67,False,-912.33,-9.13,115,硬止损-9%,9990.6,ACCUMULATING,7
AAP,C,2025-09-18,2025-09-19,59.136,2025-10-08,53.76,13,169,False,-913.1,-9.13,125,硬止损-9%,9999.06,ACCUMULATING,7
JKS,C,2025-09-18,2025-09-19,24.575,2025-10-10,22.34,15,406,False,-911.57,-9.13,124,硬止损-9%,9982.26,ACCUMULATING,7
HUYA,C,2025-09-19,2025-09-22,3.433,2025-10-10,3.121,14,2912,False,-913.48,-9.13,116,硬止损-9%,10003.15,ACCUMULATING,7
NVST,C,2025-09-19,2025-09-22,20.951,2025-10-10,19.046,14,477,False,-913.06,-9.13,110,硬止损-9%,9998.59,ACCUMULATING,7
PRK,C,2025-09-19,2025-09-22,164.138,2025-10-16,149.216,18,60,False,-899.78,-9.13,99,硬止损-9%,9853.19,ACCUMULATING,7
