ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
301622.SZ,20251013,86.7,88,5,18,25,8,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.1174,0.0058,🟢 信号确认,0,85.5,84.02,0.6123
002688.SZ,20251013,7.11,84,5,11,18,18,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.036,0.0307,🟢 信号确认,0,7.06,7.09,0.5747
002945.SZ,20251013,17.62,63,4,17,15,21,2,10,8,12,ACCUMULATING,🔥 主力吸筹,-0.0199,0.0247,🟢 接近,1,16.61,16.83,0.9531
601236.SH,20251029,9.16,85,5,10,18,7,15,15,8,12,WASHING,🟡 底部洗盘,-0.0318,0.0045,🟢 信号确认,0,9.02,8.98,0.678
600586.SH,20251029,5.15,69,3,11,15,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0224,-0.0039,🟢 接近,1,5.08,5.06,0.6194
002400.SZ,20251031,8.5,95,5,18,15,8,15,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0199,0.0072,🟢 信号确认,0,8.35,8.35,0.6772
301047.SZ,20251031,75.9,87,5,20,6,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0088,0.0139,🟢 信号确认,0,74.15,73.8,0.6665
002984.SZ,20251031,19.44,78,4,20,15,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0174,-0.0031,🟢 信号确认,0,19.31,19.25,0.5932
600409.SH,20251031,5.7,63,4,14,6,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0056,0.0,🟢 接近,1,5.63,5.58,0.6307
600586.SH,20251031,5.25,71,3,12,18,6,8,15,0,12,WASHING,🟡 底部洗盘,-0.0273,0.0039,🟢 接近,1,5.1,5.06,0.7276
300244.SZ,20251031,16.28,67,3,10,12,8,15,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0167,0.0056,🟢 接近,1,16.16,15.74,0.5688
000800.SZ,20251031,7.18,75,2,13,15,12,8,15,0,12,WASHING,🟡 底部洗盘,-0.02,-0.0042,🟢 信号确认,0,7.11,7.04,0.7132
301047.SZ,20251103,76.53,92,5,20,6,12,15,15,8,16,ACCUMULATING,🔥 主力吸筹,-0.0102,0.0186,🟢 信号确认,0,74.49,73.8,0.6611
000967.SZ,20251103,7.13,79,5,18,18,6,15,15,-5,12,WASHING,🟡 底部洗盘,-0.0258,0.0,🟢 信号确认,0,6.99,6.89,0.6941
300244.SZ,20251103,16.56,75,4,14,18,6,15,10,0,12,WASHING,🟡 底部洗盘,-0.0364,0.0,🟢 信号确认,0,16.16,15.74,0.6552
300303.SZ,20251111,6.82,83,4,12,18,11,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0293,0.0104,🟢 信号确认,0,6.8,6.73,0.5235
601010.SH,20251111,2.79,82,4,20,9,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0145,0.0,🟢 信号确认,0,2.72,2.69,0.6632
