ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
000420.SZ,20251113,4.29,102,6,20,21,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0483,0.0118,🟢 信号确认,0,4.27,4.27,0.567
603107.SH,20251114,16.04,84,5,18,9,7,15,15,8,12,WASHING,🟡 底部洗盘,-0.0092,-0.0031,🟢 信号确认,0,15.93,15.98,0.6873
002400.SZ,20251117,8.5,87,5,16,15,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0245,0.0,🟢 信号确认,0,8.39,8.35,0.6556
601688.SH,20251205,21.8,112,6,10,25,22,15,12,12,16,ACCUMULATING,🔥 主力吸筹,-0.0852,0.0422,🟢 信号确认,0,21.71,22.26,0.5322
600775.SH,20251205,12.18,78,3,9,25,9,8,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.1088,0.0059,🟢 信号确认,0,11.86,11.94,0.7109
688300.SH,20251222,58.98,93,6,14,21,8,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0439,0.0091,🟢 信号确认,0,57.92,56.84,0.6184
000899.SZ,20251224,10.24,72,3,10,9,11,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0062,0.012,🟢 接近,1,10.08,10.12,0.6403
605555.SH,20251230,18.67,100,6,18,21,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0548,0.0129,🟢 信号确认,0,18.08,17.97,0.6905
605507.SH,20251230,24.66,65,4,18,21,17,2,5,12,12,ACCUMULATING,🔥 主力吸筹,-0.0516,0.0192,🟢 接近,1,23.34,23.25,0.9917
000400.SZ,20260105,26.5,86,5,12,18,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0256,0.005,🟢 信号确认,0,26.33,26.33,0.5929
600312.SH,20260105,17.99,96,4,18,15,16,8,15,8,16,ACCUMULATING,🔥 主力吸筹,-0.0233,0.0263,🟢 信号确认,0,17.58,17.81,0.7443
605555.SH,20260105,18.9,63,4,14,21,11,8,10,8,12,ACCUMULATING,🔥 主力吸筹,-0.0479,0.0128,🟢 接近,1,18.2,17.97,0.7829
300206.SZ,20260105,13.79,70,3,13,9,6,15,7,8,12,WASHING,🟡 底部洗盘,-0.0136,0.0,🟢 接近,1,13.43,13.85,0.684
002039.SZ,20260106,18.2,113,7,16,18,21,15,15,12,16,ACCUMULATING,🔥 主力吸筹,-0.0308,0.0204,🟢 信号确认,0,18.02,18.02,0.6173
603271.SH,20260106,41.58,91,6,18,18,8,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0363,0.0088,🟢 信号确认,0,41.32,42.04,0.566
600312.SH,20260106,18.59,71,6,18,18,18,2,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0363,0.0261,🟢 接近,1,17.66,17.81,0.8894
000786.SZ,20260106,25.74,72,5,18,18,21,2,10,15,12,ACCUMULATING,🔥 主力吸筹,-0.0369,0.0251,🟢 接近,1,24.87,24.77,0.9014
002533.SZ,20260107,12.8,109,6,16,21,21,8,15,12,16,ACCUMULATING,🔥 主力吸筹,-0.0518,0.0237,🟢 信号确认,0,12.55,12.62,0.7125
603271.SH,20260107,42.07,94,5,18,18,11,8,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0325,0.0132,🟢 信号确认,0,41.5,42.04,0.7131
002533.SZ,20260108,13.0,84,6,20,21,21,8,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0517,0.0237,🟢 信号确认,0,12.55,12.62,0.8043
000958.SZ,20260109,6.7,83,4,18,12,6,15,15,5,12,WASHING,🟡 底部洗盘,-0.0157,-0.0045,🟢 信号确认,0,6.7,6.59,0.5135
000899.SZ,20260112,10.36,83,4,18,12,6,8,15,12,12,WASHING,🟡 底部洗盘,-0.0124,0.0,🟢 信号确认,0,10.12,10.17,0.7472
603050.SH,20260116,18.77,84,4,10,18,9,8,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0262,0.0094,🟢 信号确认,0,18.3,18.48,0.7326
002170.SZ,20260119,12.7,82,6,14,21,25,8,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0493,0.041,🟢 信号确认,0,12.18,12.35,0.8477
605555.SH,20260120,19.03,80,5,18,25,14,8,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0672,0.0192,🟢 信号确认,0,18.55,18.79,0.8138
601827.SH,20260120,8.74,66,4,18,12,17,2,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0058,0.012,🟢 接近,1,8.45,8.53,0.923
002612.SZ,20260121,20.88,77,5,17,25,14,8,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0671,0.0119,🟢 信号确认,0,20.37,20.49,0.805
605005.SH,20260130,19.41,85,5,14,6,8,15,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0087,0.0079,🟢 信号确认,0,19.25,18.95,0.6447
600163.SH,20260203,5.96,90,6,16,18,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0322,0.0,🟢 信号确认,0,5.86,5.89,0.6776
688690.SH,20260203,29.0,72,5,10,18,21,8,15,12,12,ACCUMULATING,🔥 主力吸筹,-0.0313,0.0378,🟢 接近,1,28.02,28.18,0.7918
000541.SZ,20260204,6.37,91,5,10,21,6,15,12,15,12,WASHING,🟡 底部洗盘,-0.0419,0.0,🟢 信号确认,0,6.32,6.38,0.5905
300782.SZ,20260227,80.19,86,5,14,9,18,15,10,8,12,ACCUMULATING,🔥 主力吸筹,-0.0106,0.039,🟢 信号确认,0,78.42,75.48,0.6579
688708.SH,20260302,64.93,117,7,20,25,22,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.1718,0.0465,🟢 信号确认,0,64.17,64.17,0.5948
000829.SZ,20260302,11.11,64,4,20,15,8,8,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0313,0.0056,🟢 接近,1,10.8,10.95,0.8183
300019.SZ,20260310,22.42,105,6,20,21,14,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0591,0.0184,🟢 信号确认,0,22.11,21.84,0.6278
002166.SZ,20260310,9.33,67,5,14,21,25,8,15,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0571,0.0476,🟢 接近,1,9.03,9.03,0.7922
601838.SH,20260408,17.29,68,4,10,21,21,2,10,15,12,ACCUMULATING,🔥 主力吸筹,-0.0584,0.0371,🟢 接近,1,16.79,17.16,0.9001
601838.SH,20260410,17.43,74,5,14,21,25,2,10,15,12,ACCUMULATING,🔥 主力吸筹,-0.0545,0.0414,🟢 接近,1,16.86,17.16,0.9406
