排名,代码,名称,板块,现价,涨跌%,市值亿,信号,动态信号,总分,量能分,收敛分,漂移分,获利分,峰位分,均线分,精度分,精度明细,集中度Δ,重心漂移,获利比,集中度,地量天,量恢复,中位成本,峰数,主峰价,+10%卖1/3,+25%二目标,硬止损-7%,操作建议
1,002534.SZ,西子洁能,专用机械,17.93,1.88,149.9,🟢 信号确认,🟡 底部洗盘,91,16,15,9,20,12,8,11,"重心未上移✗,集中度收敛✓,获利盘44%✓,筹码密集0.228✓",-7.3%,-0.44%,43.8%,22.8%,5,0.643,18.08,4,18.45,19.72,22.41,16.67,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
2,000089.SZ,深圳机场,机场,7.05,-1.12,144.6,🟢 信号确认,🟡 底部洗盘,81,12,7,11,20,12,8,11,"重心未上移✗,集中度收敛✓,获利盘46%✓,筹码密集0.081✓",-1.1%,-0.42%,46.2%,8.1%,7,1.469,7.05,2,7.12,7.76,8.81,6.56,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
3,600744.SH,华银电力,火力发电,9.0,5.39,182.8,🟡 观望,🔥 主力吸筹,59,12,13,27,2,2,15,8,"重心上移✓,集中度收敛✓,获利盘87%✗,筹码分散0.319✗",-5.4%,+15.48%,86.6%,31.9%,6,1.362,8.28,4,8.07,9.9,11.25,8.37,吸筹进行中但未到临界点，加入自选跟踪
