排名,代码,名称,板块,现价,涨跌%,市值亿,信号,动态信号,总分,量能分,收敛分,漂移分,获利分,峰位分,均线分,精度分,精度明细,集中度Δ,重心漂移,获利比,集中度,地量天,量恢复,中位成本,峰数,主峰价,+10%卖1/3,+25%二目标,硬止损-7%,操作建议
1,300788.SZ,中信出版,出版业,35.14,4.55,66.8,🟢 信号确认,🔥 主力吸筹,95,20,13,16,20,10,8,8,"重心未上移✗,集中度收敛✓,获利盘56%✓,筹码分散0.406✗",-5.9%,+1.15%,56.0%,40.6%,8,0.944,34.38,4,33.16,38.65,43.92,32.68,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
2,002534.SZ,西子洁能,专用机械,18.16,1.28,151.8,🟢 信号确认,🟡 底部洗盘,92,16,15,7,20,15,8,11,"重心未上移✗,集中度收敛✓,获利盘52%✓,筹码密集0.228✓",-6.6%,-0.44%,52.0%,22.8%,5,0.608,18.08,4,17.72,19.98,22.7,16.89,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
3,601118.SH,海南橡胶,橡胶,7.56,2.3,323.5,🟢 信号确认,🟡 底部洗盘,83,20,11,7,20,2,15,8,"重心未上移✗,集中度收敛✓,获利盘78%✓,筹码分散0.315✗",-2.5%,-0.29%,78.0%,31.4%,9,0.819,6.9,3,6.81,8.32,9.45,7.03,吸筹信号强烈+临界突破，等待入场时机(选股器是雷达不是扳机)
