ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
688685.SH,110,7,20231106,20231108,20.922,20231214,23.303,26,1900,True,4791.71,12.04,MA10追踪出场
603053.SH,97,6,20231106,20231110,10.281,20231201,10.519,15,3800,False,865.95,2.21,横盘15天出场
688676.SH,96,6,20231106,20231108,33.557,20231208,32.884,22,1100,False,-776.34,-2.1,横盘22天出场
688050.SH,118,7,20231123,20231124,189.378,20231214,171.989,14,200,False,-3512.14,-9.26,硬止损-9%
000507.SZ,95,6,20240506,20240509,5.07,20240606,4.605,20,7800,False,-3667.12,-9.26,硬止损-9%
002630.SZ,107,6,20240507,20240509,2.745,20240603,2.493,17,14500,False,-3691.46,-9.26,硬止损-9%
000617.SZ,95,6,20240507,20240513,6.062,20240607,5.505,19,6500,False,-3653.83,-9.26,硬止损-9%
000063.SZ,108,6,20240513,20240516,28.587,20240614,27.764,20,1300,False,-1105.6,-2.97,横盘20天出场
601528.SH,89,6,20240514,20240516,5.261,20240617,4.777,21,7600,False,-3707.25,-9.26,硬止损-9%
300298.SZ,96,6,20240924,20240926,25.421,20241015,27.724,8,1500,True,4430.17,11.61,MA10追踪出场
300463.SZ,108,6,20240926,20240927,12.886,20241015,13.723,7,3100,True,3912.34,9.78,MA10追踪出场
603511.SH,118,7,20241105,20241107,12.004,20241128,12.136,15,3300,False,394.63,1.0,横盘15天出场
002603.SZ,114,7,20241106,20241107,17.956,20241212,17.605,25,2200,False,-811.19,-2.05,横盘25天出场
002907.SZ,80,6,20241106,20241107,14.278,20241128,13.982,15,2800,False,-869.41,-2.17,横盘15天出场
000888.SZ,78,6,20241206,20241210,13.557,20241231,13.204,15,2900,False,-1063.5,-2.7,横盘15天出场
300138.SZ,107,6,20241209,20241212,9.599,20241224,8.718,8,4100,False,-3649.46,-9.26,硬止损-9%
000998.SZ,115,7,20241216,20241217,11.323,20250103,10.283,12,3500,False,-3674.73,-9.26,硬止损-9%
600019.SH,118,7,20241220,20241223,7.004,20250124,6.806,23,5700,False,-1165.23,-2.92,横盘23天出场
002155.SZ,104,6,20250124,20250205,18.056,20250303,17.834,18,2200,False,-527.15,-1.33,横盘18天出场
600050.SH,95,6,20250207,20250210,5.471,20250227,6.367,13,7300,True,6586.12,16.47,MA10追踪出场
688097.SH,122,6,20250211,20250213,28.657,20250217,26.026,2,1300,False,-3454.53,-9.26,硬止损-9%
002276.SZ,119,7,20250213,20250217,9.148,20250317,16.227,20,4300,True,22163.55,56.29,MA10追踪出场
002489.SZ,114,6,20250214,20250220,3.607,20250317,3.603,17,11000,False,-88.25,-0.22,横盘17天出场
