ts_code,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,exit_reason
688685.SH,110,7,20231106,20231108,20.922,20231214,23.303,26,1900,True,4791.71,12.04,MA10追踪出场
688050.SH,118,7,20231123,20231124,189.378,20231214,171.989,14,200,False,-3512.14,-9.26,硬止损-9%
000063.SZ,110,7,20240507,20240513,28.647,20240614,27.764,23,1300,False,-1183.76,-3.18,横盘23天出场
603511.SH,118,7,20241105,20241107,12.004,20241128,12.136,15,3300,False,394.63,1.0,横盘15天出场
002603.SZ,114,7,20241106,20241107,17.956,20241212,17.605,25,2200,False,-811.19,-2.05,横盘25天出场
000888.SZ,116,7,20241209,20241210,13.557,20241231,13.204,15,2900,False,-1063.5,-2.7,横盘15天出场
000998.SZ,115,7,20241216,20241217,11.323,20250103,10.283,12,3500,False,-3674.73,-9.26,硬止损-9%
600019.SH,118,7,20241220,20241223,7.004,20250124,6.806,23,5700,False,-1165.23,-2.92,横盘23天出场
002276.SZ,119,7,20250213,20250217,9.148,20250317,16.227,20,4300,True,22163.55,56.29,MA10追踪出场
688097.SH,122,7,20250214,20250219,28.667,20250228,28.667,7,1300,True,1488.17,3.99,成本止损
688548.SH,117,7,20250305,20250306,11.333,20250312,10.292,4,3500,False,-3677.99,-9.26,硬止损-9%
688037.SH,109,7,20250508,20250513,98.958,20250605,96.507,16,400,False,-1018.97,-2.57,横盘16天出场
003039.SZ,113,7,20250514,20250519,13.978,20250610,13.892,15,2800,False,-278.97,-0.71,横盘15天出场
003039.SZ,111,7,20250522,20250526,14.028,20250617,13.643,15,2800,False,-1117.15,-2.84,横盘15天出场
600111.SH,123,7,20250625,20250630,24.95,20250801,35.928,24,1600,True,14150.79,35.41,MA10追踪出场
300398.SZ,108,7,20250703,20250708,20.371,20250729,19.95,15,1900,False,-837.12,-2.16,横盘15天出场
600111.SH,106,7,20250703,20250708,24.94,20250801,35.928,18,1600,True,14160.96,35.45,MA10追踪出场
601377.SH,117,7,20250704,20250710,6.323,20250731,6.487,15,6300,False,994.73,2.49,横盘15天出场
688563.SH,117,7,20250707,20250711,57.525,20250801,57.635,15,600,False,31.23,0.09,横盘15天出场
002440.SZ,115,7,20250715,20250721,8.006,20250828,7.271,28,4900,False,-3637.66,-9.26,硬止损-9%
002761.SZ,109,7,20250715,20250721,9.639,20250730,9.701,7,4100,True,574.55,1.45,MA10追踪出场
002079.SZ,115,7,20250718,20250722,10.22,20250812,10.2,15,3900,False,-121.05,-0.3,横盘15天出场
600053.SH,112,7,20250718,20250723,16.222,20250820,18.243,20,2400,True,5404.05,13.87,MA10追踪出场
002338.SZ,116,7,20250723,20250724,47.495,20250826,53.782,23,800,True,5350.1,14.07,MA10追踪出场
600172.SH,114,7,20250730,20250805,4.569,20250820,4.91,11,8700,True,4080.85,10.26,MA10追踪出场
000795.SZ,111,7,20250811,20250815,11.794,20250904,10.711,14,3300,False,-3608.86,-9.26,硬止损-9%
600206.SH,122,7,20250812,20250813,19.539,20250904,20.539,16,2000,True,3256.7,8.33,MA10追踪出场
300541.SZ,100,7,20250813,20250815,16.643,20250909,15.115,17,2400,False,-3703.91,-9.26,硬止损-9%
603738.SH,126,7,20250815,20250818,15.972,20250904,14.505,13,2500,False,-3702.61,-9.26,硬止损-9%
000676.SZ,111,7,20250815,20250818,9.158,20250903,10.768,12,4300,True,6811.22,17.28,MA10追踪出场
300663.SZ,113,7,20250818,20250819,20.11,20250903,18.264,11,1900,False,-3543.08,-9.26,硬止损-9%
300925.SZ,110,7,20250818,20250821,25.341,20250903,23.014,9,1500,False,-3524.68,-9.26,硬止损-9%
000555.SZ,113,7,20250820,20250821,14.028,20250902,14.162,8,2800,True,1240.76,3.16,MA10追踪出场
601222.SH,111,7,20250820,20250825,6.012,20250916,6.178,16,6600,False,1052.32,2.65,横盘16天出场
300129.SZ,125,7,20250821,20250825,7.816,20250917,7.754,17,5100,False,-351.36,-0.88,横盘17天出场
002093.SZ,114,7,20250821,20250826,13.307,20250902,12.085,5,3000,False,-3701.68,-9.26,硬止损-9%
300737.SZ,111,7,20250821,20250825,5.591,20250901,5.078,5,7100,False,-3681.05,-9.26,硬止损-9%
002612.SZ,121,7,20250829,20250901,18.687,20250923,16.971,16,2100,False,-3638.96,-9.26,硬止损-9%
600478.SH,120,7,20250902,20250904,6.162,20250925,6.277,15,6400,False,696.59,1.76,横盘15天出场
000987.SZ,112,7,20250911,20250917,7.735,20251104,7.914,28,5100,False,871.01,2.21,横盘28天出场
002250.SZ,122,7,20251029,20251031,11.854,20251120,13.124,14,3300,True,3939.45,10.06,MA10追踪出场
000680.SZ,109,7,20251222,20251226,11.553,20260202,11.697,24,3400,False,448.13,1.14,横盘24天出场
000338.SZ,117,7,20260108,20260109,18.377,20260202,22.525,16,2100,True,7526.3,19.48,MA10追踪出场
000061.SZ,111,7,20260112,20260114,9.96,20260212,9.045,21,4000,False,-3694.25,-9.26,硬止损-9%
000786.SZ,107,7,20260116,20260120,26.874,20260213,26.996,18,1400,False,133.37,0.35,横盘18天出场
605555.SH,121,7,20260122,20260123,19.198,20260202,17.436,6,2000,False,-3560.45,-9.26,硬止损-9%
