ts_code,trade_date,close,score,green_count,s_vol,s_conc,s_drift,s_wr,s_peak,s_ma,s_dyn,signal,signal_cn,conc_change,drift_pct,action_level,priority,med_cost,main_peak,winner_ratio
603271.SH,20251230,41.48,90,6,14,18,11,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.0371,0.0132,🟢 信号确认,0,41.32,42.04,0.5234
300443.SZ,20251230,28.6,86,5,16,25,6,15,12,0,12,WASHING,🟡 底部洗盘,-0.1125,0.0,🟢 信号确认,0,28.5,28.7,0.556
600517.SH,20251230,6.05,78,4,14,9,8,15,15,5,12,ACCUMULATING,🔥 主力吸筹,-0.0113,0.0067,🟢 信号确认,0,6.03,5.9,0.5162
605507.SH,20251230,24.66,65,4,18,21,17,2,5,12,12,ACCUMULATING,🔥 主力吸筹,-0.0477,0.0192,🟢 接近,1,23.34,23.25,0.9917
600186.SH,20251230,5.92,78,3,12,15,9,15,15,0,12,ACCUMULATING,🔥 主力吸筹,-0.0267,0.0068,🟢 信号确认,0,5.89,5.89,0.5934
600312.SH,20251230,17.36,74,3,10,18,17,10,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0256,0.0174,🟢 接近,1,17.58,17.81,0.4239
605555.SH,20251231,18.3,96,6,14,21,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0548,0.0129,🟢 信号确认,0,18.08,17.97,0.5547
002533.SZ,20251231,12.48,95,5,12,21,15,15,12,8,12,ACCUMULATING,🔥 主力吸筹,-0.058,0.023,🟢 信号确认,0,12.47,12.69,0.5278
600186.SH,20251231,5.98,91,5,12,18,11,15,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0267,0.0068,🟢 信号确认,0,5.89,5.89,0.6986
000100.SZ,20251231,4.54,66,4,18,7,21,8,10,12,12,ACCUMULATING,🔥 主力吸筹,-0.0104,0.0254,🟢 接近,1,4.44,4.49,0.825
605507.SH,20251231,24.8,65,4,18,21,17,2,5,12,12,ACCUMULATING,🔥 主力吸筹,-0.0439,0.0192,🟢 接近,1,23.34,23.25,0.9829
600312.SH,20251231,17.35,71,3,10,18,14,10,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0256,0.0174,🟢 接近,1,17.58,17.81,0.403
300443.SZ,20260105,28.68,101,6,16,25,6,15,12,15,12,WASHING,🟡 底部洗盘,-0.1055,0.0,🟢 信号确认,0,28.5,28.7,0.5626
002533.SZ,20260105,12.58,99,5,16,25,11,15,15,5,12,ACCUMULATING,🔥 主力吸筹,-0.0722,0.0114,🟢 信号确认,0,12.47,12.55,0.5705
600312.SH,20260105,17.99,96,5,18,18,17,8,15,8,12,ACCUMULATING,🔥 主力吸筹,-0.0256,0.0174,🟢 信号确认,0,17.58,17.81,0.7444
000400.SZ,20260105,26.5,86,5,12,18,6,15,15,8,12,WASHING,🟡 底部洗盘,-0.0256,0.005,🟢 信号确认,0,26.33,26.33,0.5928
688776.SH,20260105,101.31,84,5,12,25,25,8,15,15,12,ACCUMULATING,🔥 主力吸筹,-0.0639,0.0528,🟢 信号确认,0,94.66,100.77,0.8393
605507.SH,20260105,24.75,67,5,14,21,21,2,5,15,12,ACCUMULATING,🔥 主力吸筹,-0.0406,0.0227,🟢 接近,1,23.42,23.25,0.9759
000100.SZ,20260105,4.55,66,4,18,7,21,8,10,12,12,ACCUMULATING,🔥 主力吸筹,-0.0104,0.0254,🟢 接近,1,4.44,4.49,0.8095
605555.SH,20260105,18.9,63,4,14,21,11,8,10,8,12,ACCUMULATING,🔥 主力吸筹,-0.0479,0.0128,🟢 接近,1,18.2,17.97,0.7829
002039.SZ,20260105,17.99,77,3,12,15,21,10,12,-5,12,ACCUMULATING,🔥 主力吸筹,-0.0203,0.021,🟢 信号确认,0,18.03,18.46,0.4678
300206.SZ,20260105,13.79,70,3,13,9,6,15,7,8,12,WASHING,🟡 底部洗盘,-0.0136,0.0,🟢 接近,1,13.43,13.85,0.684
002039.SZ,20260106,18.2,113,7,16,18,21,15,15,12,16,ACCUMULATING,🔥 主力吸筹,-0.0307,0.021,🟢 信号确认,0,18.03,18.03,0.6173
