ts_code,tier,entry_score,green_count,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,position_size,partial_sold,realized_pnl,pnl_pct,exit_reason,capital_used
300627.SZ,2,89,5,20230906,20230908,32.164,20230919,29.211,7,700,25000,False,-2087.77,-9.26,硬止损-9%,22537.45
002884.SZ,2,100,5,20230908,20230912,16.633,20230920,16.667,6,1500,25000,False,25.1,0.1,横盘6天出场,24974.75
688685.SH,1,110,7,20231106,20231108,20.922,20231124,21.168,12,2300,50000,False,516.7,1.07,横盘12天出场,48168.17
001896.SZ,2,83,5,20231106,20231109,4.87,20231117,4.74,6,5100,25000,False,-683.2,-2.75,横盘6天出场,24860.41
603053.SH,2,75,5,20231107,20231110,10.281,20231120,10.229,6,2400,25000,False,-147.0,-0.6,横盘6天出场,24697.92
300722.SZ,2,105,5,20231108,20231113,29.038,20231124,26.372,9,800,25000,False,-2154.11,-9.26,硬止损-9%,23253.6
600435.SH,2,92,5,20231109,20231113,11.763,20231121,11.527,6,2100,25000,False,-521.02,-2.11,横盘6天出场,24728.01
002166.SZ,2,95,5,20231117,20231123,8.056,20231201,7.964,6,3100,25000,False,-310.01,-1.24,横盘6天出场,24998.82
688050.SH,1,118,7,20231123,20231124,189.378,20231206,185.189,8,200,50000,False,-874.86,-2.31,横盘8天出场,37913.48
605488.SH,2,85,5,20231123,20231128,15.771,20231219,18.194,15,1500,25000,True,3339.4,14.1,MA5追踪出场,23680.88
600997.SH,2,85,5,20240229,20240306,8.226,20240312,7.471,4,3000,25000,False,-2288.46,-9.26,硬止损-9%,24703.94
000063.SZ,1,110,7,20240507,20240513,28.647,20240614,27.764,23,1700,50000,False,-1547.99,-3.18,横盘23天出场,48748.91
601788.SH,2,82,5,20240507,20240513,16.814,20240521,16.517,6,1400,25000,False,-438.45,-1.86,横盘6天出场,23562.52
601968.SH,2,80,5,20240508,20240513,5.591,20240521,5.739,6,4400,25000,False,623.05,2.53,横盘6天出场,24625.71
002508.SZ,2,93,5,20240510,20240515,26.142,20240523,25.938,6,900,25000,False,-207.09,-0.88,横盘6天出场,23551.49
000831.SZ,2,107,5,20240514,20240520,29.539,20240603,26.827,10,800,25000,False,-2191.28,-9.26,硬止损-9%,23654.8
000063.SZ,2,93,5,20240515,20240516,28.587,20240614,27.764,20,800,25000,False,-680.37,-2.97,横盘20天出场,22892.52
601788.SH,2,89,5,20240521,20240522,16.864,20240607,15.315,12,1400,25000,False,-2189.23,-9.26,硬止损-9%,23632.73
603129.SH,2,94,5,20240924,20240930,164.208,20241015,149.13,6,100,25000,False,-1522.67,-9.26,硬止损-9%,16437.2
600664.SH,2,91,5,20240924,20240925,3.277,20241010,3.683,6,7600,25000,True,3024.02,12.13,MA5追踪出场,24926.61
688001.SH,2,91,5,20240924,20240926,25.3,20241010,31.237,5,900,25000,True,4443.86,19.5,MA5追踪出场,22793.22
300222.SZ,2,92,5,20240925,20240926,6.112,20241011,7.375,6,4000,25000,True,4332.91,17.7,MA5追踪出场,24473.25
603392.SH,2,77,5,20240926,20240927,75.02,20241010,76.866,4,300,25000,True,1206.77,5.36,MA5追踪出场,22528.43
603511.SH,1,118,7,20241105,20241107,12.004,20241119,12.026,8,4100,50000,False,40.65,0.08,横盘8天出场,49265.45
002603.SZ,1,114,7,20241106,20241107,17.956,20241120,17.575,9,2700,50000,False,-1076.31,-2.22,横盘9天出场,48529.25
601528.SH,2,82,5,20241106,20241107,5.441,20241115,5.539,6,4500,25000,False,416.25,1.7,横盘6天出场,24508.35
000888.SZ,1,116,7,20241209,20241210,13.557,20241220,13.593,8,3600,50000,False,79.59,0.16,横盘8天出场,48854.22
300791.SZ,2,80,5,20241211,20241212,29.82,20241225,27.081,9,800,25000,False,-2212.09,-9.26,硬止损-9%,23879.47
600085.SH,2,104,5,20241213,20241219,41.683,20241227,41.217,6,500,25000,False,-253.51,-1.22,横盘6天出场,20862.44
603668.SH,2,97,5,20241213,20241216,13.096,20241224,12.874,6,1900,25000,False,-446.15,-1.79,横盘6天出场,24907.55
000998.SZ,1,115,7,20241216,20241217,11.323,20241227,11.527,8,4400,50000,False,848.2,1.7,横盘8天出场,49869.26
600019.SH,1,118,7,20241220,20241223,7.004,20250103,6.866,8,7100,50000,False,-1026.7,-2.06,横盘8天出场,49777.99
002155.SZ,2,93,5,20250127,20250205,18.056,20250213,17.964,6,1300,25000,False,-143.01,-0.61,横盘6天出场,23496.32
688097.SH,2,101,5,20250207,20250210,28.487,20250217,25.871,5,800,25000,False,-2113.23,-9.26,硬止损-9%,22812.28
688319.SH,2,101,5,20250210,20250212,12.405,20250220,12.196,6,2000,25000,False,-442.79,-1.78,横盘6天出场,24834.33
600035.SH,2,85,5,20250212,20250217,4.389,20250227,4.281,8,5600,25000,False,-625.08,-2.54,横盘8天出场,24601.63
000989.SZ,2,103,5,20250213,20250218,8.136,20250226,8.263,6,3000,25000,False,356.81,1.46,横盘6天出场,24433.13
688097.SH,1,122,7,20250214,20250219,28.667,20250228,28.667,7,1700,50000,True,1858.06,3.81,成本止损(回成本),48783.01
002255.SZ,2,103,5,20250217,20250221,6.453,20250303,6.397,6,3800,25000,False,-235.97,-0.96,横盘6天出场,24545.46
300304.SZ,2,91,5,20250218,20250219,8.828,20250227,8.683,6,2800,25000,False,-430.37,-1.74,横盘6天出场,24742.05
600596.SH,2,80,5,20250219,20250220,9.078,20250228,8.792,6,2700,25000,False,-795.24,-3.24,横盘6天出场,24535.43
002540.SZ,2,87,5,20250220,20250226,6.072,20250306,6.158,6,4100,25000,False,325.47,1.31,横盘6天出场,24920.59
001311.SZ,2,97,5,20250221,20250226,30.14,20250311,30.828,9,800,25000,False,525.79,2.18,横盘9天出场,24136.24
301177.SZ,2,99,5,20250224,20250225,26.172,20250305,26.736,6,900,25000,False,483.7,2.05,横盘6天出场,23578.57
300532.SZ,2,91,5,20250225,20250226,13.667,20250306,13.852,6,1800,25000,False,307.99,1.25,横盘6天出场,24625.71
002243.SZ,2,102,5,20250227,20250304,9.078,20250313,9.222,7,2700,25000,False,362.28,1.48,横盘7天出场,24535.43
002367.SZ,2,108,5,20250304,20250310,7.415,20250318,7.435,6,3300,25000,False,42.45,0.17,横盘6天出场,24493.31
002158.SZ,2,93,5,20250304,20250307,20.721,20250314,21.327,5,1200,25000,True,1411.35,5.67,MA5追踪出场,24890.5
002540.SZ,2,89,5,20250304,20250305,6.202,20250313,6.118,6,4000,25000,False,-363.03,-1.46,横盘6天出场,24834.33
688548.SH,1,117,7,20250305,20250306,11.333,20250318,11.208,8,4400,50000,False,-599.67,-1.2,横盘8天出场,49913.39
002498.SZ,2,81,5,20250310,20250312,3.547,20250320,3.623,6,7000,25000,False,504.26,2.03,横盘6天出场,24854.39
605016.SH,2,75,5,20250319,20250324,20.691,20250401,21.257,6,1200,25000,False,653.81,2.63,横盘6天出场,24854.39
300470.SZ,2,81,5,20250507,20250508,38.367,20250714,37.156,46,600,25000,False,-748.92,-3.25,横盘46天出场,23042.97
688037.SH,1,109,7,20250508,20250513,98.958,20250605,96.507,16,500,50000,False,-1273.71,-2.57,横盘16天出场,49528.24
002080.SZ,2,91,5,20250512,20250514,14.98,20250522,16.337,6,1600,25000,True,2140.65,8.92,MA5追踪出场,23991.81
600346.SH,2,84,5,20250512,20250515,15.842,20250523,15.519,6,1500,25000,False,-507.36,-2.13,横盘6天出场,23786.19
000935.SZ,2,99,5,20250513,20250519,17.535,20250529,17.016,8,1400,25000,False,-750.56,-3.05,横盘8天出场,24573.55
003039.SZ,1,113,7,20250514,20250519,13.978,20250529,14.311,8,3500,50000,False,1116.88,2.28,横盘8天出场,48971.57
300748.SZ,2,100,5,20250514,20250516,21.703,20250527,19.711,7,1100,25000,False,-2213.76,-9.26,硬止损-9%,23897.53
003039.SZ,1,111,7,20250522,20250526,14.028,20250606,13.992,8,3500,50000,False,-175.11,-0.36,横盘8天出场,49147.1
003031.SZ,2,104,5,20250529,20250605,48.377,20250616,47.136,7,500,25000,False,-644.08,-2.66,横盘7天出场,24212.47
600663.SH,2,97,5,20250529,20250530,9.258,20250613,9.511,9,2700,25000,False,655.96,2.62,横盘9天出场,25022.89
600111.SH,1,123,7,20250625,20250630,24.95,20250731,37.425,23,2000,50000,True,19493.33,39.03,MA5追踪出场,49949.5
300398.SZ,1,108,7,20250703,20250708,20.371,20250725,19.75,13,2400,50000,False,-1535.98,-3.14,横盘13天出场,48938.47
600111.SH,1,106,7,20250703,20250708,24.94,20250731,37.425,17,2000,50000,True,19506.52,39.07,MA5追踪出场,49929.44
000819.SZ,2,103,5,20250703,20250707,15.741,20250721,17.575,10,1500,25000,True,2668.84,11.29,MA5追踪出场,23635.74
601377.SH,1,117,7,20250704,20250710,6.323,20250722,6.467,8,7900,50000,False,1089.83,2.18,横盘8天出场,49998.65
301215.SZ,2,98,5,20250704,20250709,6.323,20250717,6.218,6,3900,25000,False,-434.06,-1.76,横盘6天出场,24682.88
601866.SH,2,98,5,20250711,20250714,2.545,20250722,2.585,6,9800,25000,False,364.12,1.46,横盘6天出场,24966.73
600206.SH,2,104,5,20250714,20250718,19.589,20250728,19.8,6,1200,25000,False,229.7,0.98,横盘6天出场,23530.43
603019.SH,2,85,5,20250714,20250715,69.859,20250723,68.513,6,300,25000,False,-424.58,-2.02,横盘6天出场,20978.79
002761.SZ,1,109,7,20250715,20250721,9.639,20250725,9.76,4,5100,50000,True,941.22,1.91,MA5追踪出场,49209.28
002079.SZ,1,115,7,20250718,20250722,10.22,20250801,9.97,8,4800,50000,False,-1249.68,-2.54,横盘8天出场,49106.98
600053.SH,1,112,7,20250718,20250723,16.222,20250804,15.888,8,3000,50000,False,-1050.32,-2.16,横盘8天出场,48715.81
600284.SH,2,83,5,20250721,20250722,6.874,20250731,6.836,7,3600,25000,False,-159.32,-0.64,横盘7天出场,24770.14
002338.SZ,1,116,7,20250723,20250724,47.495,20250825,55.379,22,1000,50000,True,7460.37,15.69,MA5追踪出场,47542.29
002489.SZ,2,98,5,20250724,20250730,3.878,20250812,3.772,9,6400,25000,False,-698.06,-2.81,横盘9天出场,24842.35
603203.SH,2,97,5,20250724,20250725,25.541,20250814,27.465,14,900,25000,True,1880.34,8.17,MA5追踪出场,23009.87
002009.SZ,2,109,5,20250728,20250729,16.763,20250812,17.196,10,1400,25000,False,580.84,2.47,横盘10天出场,23492.31
600172.SH,2,103,5,20250728,20250729,4.549,20250806,4.551,6,5400,25000,False,-14.85,-0.06,横盘6天出场,24589.6
000905.SZ,2,111,5,20250729,20250730,8.627,20250807,8.473,6,2800,25000,False,-455.48,-1.88,横盘6天出场,24180.37
688173.SH,2,74,5,20250801,20250807,15.401,20250815,14.99,6,1600,25000,False,-681.23,-2.76,横盘6天出场,24665.83
600053.SH,2,111,5,20250804,20250807,16.293,20250815,18.313,6,1500,25000,True,2968.91,12.14,MA5追踪出场,24463.22
300123.SZ,2,104,5,20250804,20250805,6.723,20250813,6.687,6,3700,25000,False,-160.97,-0.65,横盘6天出场,24901.53
300315.SZ,2,106,5,20250807,20250808,6.032,20250818,6.108,6,4100,25000,False,285.41,1.15,横盘6天出场,24756.1
600881.SH,2,94,5,20250807,20250812,1.944,20250821,2.106,7,12800,25000,True,2254.74,9.05,MA5追踪出场,24906.55
601236.SH,2,72,5,20250807,20250813,9.188,20250821,9.391,6,2700,25000,False,522.31,2.1,横盘6天出场,24833.33
000795.SZ,1,111,7,20250811,20250815,11.794,20250901,12.056,11,4200,50000,False,1051.03,2.12,横盘11天出场,49582.4
600206.SH,1,122,7,20250812,20250813,19.539,20250903,21.866,15,2500,50000,True,5220.92,10.68,MA5追踪出场,48896.35
300217.SZ,2,99,5,20250812,20250815,5.311,20250825,5.419,6,4700,25000,False,484.67,1.94,横盘6天出场,24984.78
300541.SZ,1,100,7,20250813,20250815,16.643,20250827,16.866,8,3000,50000,False,618.34,1.24,横盘8天出场,49979.59
603587.SH,2,97,5,20250814,20250815,13.627,20250825,13.343,6,1800,25000,False,-535.11,-2.18,横盘6天出场,24553.49
603738.SH,1,126,7,20250815,20250818,15.972,20250828,16.108,8,3100,50000,False,371.17,0.75,横盘8天出场,49562.34
000676.SZ,1,111,7,20250815,20250818,9.158,20250902,11.457,11,5400,50000,True,10525.28,21.26,MA5追踪出场,49504.17
000905.SZ,2,106,5,20250815,20250821,8.577,20250901,8.732,7,2900,25000,False,425.28,1.71,横盘7天出场,24898.52
600787.SH,2,96,5,20250815,20250818,6.112,20250826,6.168,6,4000,25000,False,197.09,0.81,横盘6天出场,24473.25
300123.SZ,2,95,5,20250815,20250818,6.844,20250826,6.956,6,3600,25000,False,379.6,1.54,横盘6天出场,24661.81
300663.SZ,1,113,7,20250818,20250819,20.11,20250829,19.701,8,2400,50000,False,-1030.37,-2.13,横盘8天出场,48312.6
300925.SZ,1,110,7,20250818,20250821,25.341,20250911,25.01,15,1900,50000,False,-675.85,-1.4,横盘15天出场,48195.25
000025.SZ,2,95,5,20250819,20250825,18.246,20250902,17.964,6,1300,25000,False,-390.5,-1.64,横盘6天出场,23744.07
002654.SZ,2,88,5,20250819,20250821,12.675,20250829,12.695,6,1900,25000,False,12.47,0.05,横盘6天出场,24107.15
000555.SZ,1,113,7,20250820,20250821,14.028,20250828,14.89,5,3500,50000,True,3996.34,8.13,MA5追踪出场,49147.1
601222.SH,1,111,7,20250820,20250825,6.012,20250904,6.128,8,8300,50000,False,909.62,1.82,横盘8天出场,49949.5
600223.SH,2,99,5,20250820,20250821,8.587,20250903,7.799,9,2900,25000,False,-2309.18,-9.26,硬止损-9%,24927.61
600708.SH,2,99,5,20250820,20250821,3.637,20250829,3.643,6,6800,25000,False,12.22,0.05,横盘6天出场,24758.1
002703.SZ,2,98,5,20250820,20250826,13.166,20250902,11.957,5,1800,25000,False,-2197.59,-9.26,硬止损-9%,23723.0
300129.SZ,1,125,7,20250821,20250825,7.816,20250905,7.894,9,6300,50000,False,445.32,0.9,横盘9天出场,49287.52
002093.SZ,1,114,7,20250821,20250826,13.307,20250904,11.554,7,3700,50000,False,-6528.87,-13.25,硬止损-13%,49283.51
300737.SZ,1,111,7,20250821,20250825,5.591,20251125,5.269,60,8900,50000,False,-2910.21,-5.84,持仓60天强制出场,49811.09
601975.SH,2,91,5,20250821,20250822,2.996,20250901,2.954,6,8300,25000,False,-372.29,-1.5,横盘6天出场,24891.5
002467.SZ,2,103,5,20250822,20250826,6.503,20250903,6.627,6,3800,25000,False,445.03,1.8,横盘6天出场,24736.04
300123.SZ,2,78,5,20250822,20250825,6.994,20250904,6.352,8,3500,25000,False,-2269.88,-9.26,硬止损-9%,24503.34
300741.SZ,2,99,5,20250825,20250826,20.391,20250904,19.78,7,1200,25000,False,-756.14,-3.09,横盘7天出场,24493.31
001338.SZ,2,94,5,20250825,20250826,12.425,20250922,11.284,19,2000,25000,False,-2304.26,-9.26,硬止损-9%,24874.45
600390.SH,2,109,5,20250826,20250828,6.583,20250904,5.979,5,3700,25000,False,-2258.64,-9.26,硬止损-9%,24381.98
002612.SZ,1,121,7,20250829,20250901,18.687,20250911,18.922,8,2600,50000,False,561.23,1.15,横盘8天出场,48635.57
920819.BJ,2,105,5,20250901,20250902,4.629,20250910,4.601,6,5400,25000,False,-178.53,-0.71,横盘6天出场,25022.89
600026.SH,2,97,5,20250901,20250905,11.102,20250922,12.206,11,2200,25000,True,2309.86,9.45,MA5追踪出场,24449.18
600478.SH,1,120,7,20250902,20250904,6.162,20250917,6.617,9,8100,50000,True,3869.64,7.74,MA5追踪出场,49964.54
000987.SZ,2,107,5,20250905,20250911,7.645,20250922,7.445,7,3200,25000,False,-664.4,-2.71,横盘7天出场,24489.3
301206.SZ,2,103,5,20250909,20250912,30.771,20250923,27.946,7,800,25000,False,-2282.7,-9.26,硬止损-9%,24641.75
