ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal,green_count
SPOT,C,2023-10-17,2023-10-23,154.765,2023-10-26,154.919,3,64,True,331.11,3.34,124,成本止损,9909.89,ACCUMULATING,7
TME,C,2023-10-23,2023-10-24,6.812,2023-11-28,7.998,24,1468,True,1625.88,16.25,91,MA10追踪出场,10004.76,ACCUMULATING,7
ATGE,C,2023-10-24,2023-10-27,50.03,2023-11-16,55.155,14,199,True,1013.03,10.17,109,MA10追踪出场,9960.94,ACCUMULATING,7
COR,C,2023-10-27,2023-11-02,188.406,2023-12-22,199.171,35,53,False,565.27,5.66,87,持仓35天强制出场,9990.49,ACCUMULATING,6
GDDY,C,2023-11-02,2023-11-03,85.646,2023-12-26,106.413,35,116,True,1971.12,19.83,101,持仓35天强制出场,9939.85,ACCUMULATING,7
GWRE,C,2023-11-03,2023-11-07,92.472,2023-12-28,110.779,35,108,True,1705.5,17.07,78,持仓35天强制出场,9992.01,ACCUMULATING,6
CAL,C,2023-11-15,2023-11-21,28.859,2023-12-13,26.76,15,346,False,-730.95,-7.32,79,ATR止损-7.2%,9990.32,ACCUMULATING,6
HRI,C,2023-12-07,2023-12-11,126.667,2024-01-02,141.722,14,78,True,1164.77,11.78,113,MA10追踪出场,9884.93,ACCUMULATING,7
BNS,C,2023-12-07,2023-12-13,41.343,2024-01-16,42.324,21,241,False,231.23,2.32,104,横盘21天出场,9968.64,ACCUMULATING,7
SHAK,C,2023-12-08,2023-12-11,66.897,2024-01-02,73.237,14,149,True,1091.49,10.94,116,MA10追踪出场,9972.61,ACCUMULATING,7
RWT,C,2023-12-12,2023-12-13,5.564,2024-01-09,5.449,17,1797,False,-210.78,-2.11,108,横盘17天出场,10003.27,ACCUMULATING,7
CINF,C,2023-12-26,2024-01-02,100.394,2024-02-07,101.282,25,99,False,82.86,0.83,111,横盘25天出场,9943.97,ACCUMULATING,7
LVS,C,2023-12-27,2024-01-02,49.176,2024-01-11,46.671,7,203,False,-513.36,-5.14,91,ATR止损-5.0%,9987.72,ACCUMULATING,7
MOH,C,2023-12-27,2024-01-02,371.902,2024-01-25,352.953,16,26,False,-497.25,-5.14,104,ATR止损-5.0%,9674.27,ACCUMULATING,6
PD,C,2024-01-02,2024-01-08,23.143,2024-01-23,25.594,10,432,True,1171.13,11.71,107,MA10追踪出场,10002.83,ACCUMULATING,7
IRT,C,2024-01-16,2024-01-19,14.309,2024-01-31,13.58,8,698,False,-513.62,-5.14,117,ATR止损-5.0%,9992.88,ACCUMULATING,7
LUV,C,2024-01-16,2024-01-18,28.627,2024-03-08,32.767,35,349,True,1362.86,13.63,112,持仓35天强制出场,9995.92,ACCUMULATING,7
SEE,C,2024-01-22,2024-01-25,34.552,2024-02-05,32.49,7,289,False,-600.69,-6.01,117,ATR止损-5.9%,9990.57,ACCUMULATING,7
LHX,C,2024-01-23,2024-01-26,200.668,2024-02-21,204.661,17,49,False,190.64,1.94,114,横盘17天出场,9837.64,ACCUMULATING,7
TMO,C,2024-01-24,2024-01-26,543.928,2024-02-21,548.316,17,18,False,74.05,0.76,113,横盘17天出场,9795.59,ACCUMULATING,7
GOOS,C,2024-01-26,2024-02-01,13.023,2024-02-05,11.803,2,767,False,-940.02,-9.41,118,ATR止损-9.3%,9993.64,ACCUMULATING,7
LUV,C,2024-02-05,2024-02-08,30.82,2024-03-12,28.792,22,324,False,-661.53,-6.62,116,ATR止损-6.5%,9990.62,ACCUMULATING,7
BDC,C,2024-02-06,2024-02-08,83.967,2024-02-20,79.688,7,119,False,-513.83,-5.14,115,ATR止损-5.0%,9997.01,ACCUMULATING,7
HNI,C,2024-02-13,2024-02-14,40.015,2024-03-11,39.937,17,249,False,-24.51,-0.25,118,横盘17天出场,9968.72,ACCUMULATING,7
BANC,C,2024-02-14,2024-02-15,13.728,2024-03-12,14.03,17,728,False,214.52,2.15,106,横盘17天出场,9998.9,ACCUMULATING,7
